"KEGG_ID","Pathways","PathwayName"
"ppa:PAS_chr1-3_0025","ppa03440","Homologous recombination - Komagataella phaffii"
"ppa:PAS_chr1-3_0049","NULL",NA
"ppa:PAS_chr1-3_0091","NULL",NA
"ppa:PAS_chr1-3_0167","NULL",NA
"ppa:PAS_chr1-3_0128","ppa00480","Glutathione metabolism - Komagataella phaffii"
"ppa:PAS_chr1-3_0128","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-3_0149","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"ppa:PAS_chr1-3_0301","NULL",NA
"ppa:PAS_chr1-3_0142","ppa03018","RNA degradation - Komagataella phaffii"
"ppa:PAS_chr1-3_0142","ppa03040","Spliceosome - Komagataella phaffii"
"ppa:PAS_chr1-3_0259","NULL",NA
"ppa:PAS_chr1-3_0271","NULL",NA
"ppa:PAS_chr1-3_0189","NULL",NA
"ppa:PAS_chr1-1_0023","ppa03060","Protein export - Komagataella phaffii"
"ppa:PAS_chr1-1_0023","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr1-1_0023","ppa04145","Phagosome - Komagataella phaffii"
"ppa:PAS_chr1-1_0012","ppa03022","Basal transcription factors - Komagataella phaffii"
"ppa:PAS_chr1-1_0015","ppa03015","mRNA surveillance pathway - Komagataella phaffii"
"ppa:PAS_chr1-1_0460","ppa04138","Autophagy - yeast - Komagataella phaffii"
"ppa:PAS_chr1-1_0460","ppa04148","Efferocytosis - Komagataella phaffii"
"ppa:PAS_chr1-3_0312","NULL",NA
"ppa:PAS_chr1-1_0459","ppa00510","N-Glycan biosynthesis - Komagataella phaffii"
"ppa:PAS_chr1-1_0459","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-1_0470","NULL",NA
"ppa:PAS_chr1-1_0469","NULL",NA
"ppa:PAS_chr1-1_0468","NULL",NA
"ppa:PAS_chr1-1_0129","ppa00310","Lysine degradation - Komagataella phaffii"
"ppa:PAS_chr1-1_0129","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-1_0100","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr1-1_0479","NULL",NA
"ppa:PAS_chr1-1_0110","NULL",NA
"ppa:PAS_chr1-1_0481","ppa04130","SNARE interactions in vesicular transport - Komagataella phaffii"
"ppa:PAS_chr1-1_0246","ppa04130","SNARE interactions in vesicular transport - Komagataella phaffii"
"ppa:PAS_chr1-1_0239","NULL",NA
"ppa:PAS_chr1-1_0181","NULL",NA
"ppa:PAS_chr1-1_0159","NULL",NA
"ppa:PAS_chr1-1_0178","NULL",NA
"ppa:PAS_chr1-1_0339","NULL",NA
"ppa:PAS_chr1-1_0495","NULL",NA
"ppa:PAS_chr1-1_0491","ppa03060","Protein export - Komagataella phaffii"
"ppa:PAS_chr1-1_0286","ppa00514","Other types of O-glycan biosynthesis - Komagataella phaffii"
"ppa:PAS_chr1-1_0286","ppa00515","Mannose type O-glycan biosynthesis - Komagataella phaffii"
"ppa:PAS_chr1-1_0286","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-1_0375","NULL",NA
"ppa:PAS_chr1-1_0338","NULL",NA
"ppa:PAS_chr1-1_0405","NULL",NA
"A0A1G4KPA3","NULL",NA
"ppa:PAS_chr1-1_0451","NULL",NA
