"KEGG_ID","Pathways","PathwayName"
"1.ppa:PAS_chr1-3_0232","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"1.ppa:PAS_chr1-3_0232","ppa04139","Mitophagy - yeast - Komagataella phaffii"
"1.ppa:PAS_chr1-3_0232","ppa04148","Efferocytosis - Komagataella phaffii"
"1.ppa:PAS_chr1-3_0232","ppa04620","Toll-like receptor signaling pathway - Komagataella phaffii"
"1.ppa:PAS_chr1-4_0019","ppa00564","Glycerophospholipid metabolism - Komagataella phaffii"
"1.ppa:PAS_chr1-4_0019","ppa01100","Metabolic pathways - Komagataella phaffii"
"1.ppa:PAS_chr1-4_0019","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"1.ppa:PAS_chr2-1_0219","ppa03008","Ribosome biogenesis in eukaryotes - Komagataella phaffii"
"1.ppa:PAS_chr3_0243","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"1.ppa:PAS_chr3_0243","ppa04113","Meiosis - yeast - Komagataella phaffii"
"1.ppa:PAS_chr3_0359","ppa04120","Ubiquitin mediated proteolysis - Komagataella phaffii"
"1.ppa:PAS_chr3_0406","ppa00250","Alanine, aspartate and glutamate metabolism - Komagataella phaffii"
"1.ppa:PAS_chr3_0406","ppa00470","D-Amino acid metabolism - Komagataella phaffii"
"1.ppa:PAS_chr3_0406","ppa01100","Metabolic pathways - Komagataella phaffii"
"1.ppa:PAS_chr3_0406","ppa04146","Peroxisome - Komagataella phaffii"
"1.ppa:PAS_chr3_0506","ppa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Komagataella phaffii"
"1.ppa:PAS_chr3_0506","ppa00999","Biosynthesis of various plant secondary metabolites - Komagataella phaffii"
"1.ppa:PAS_chr3_0506","ppa01100","Metabolic pathways - Komagataella phaffii"
"1.ppa:PAS_chr3_0506","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"1.ppa:PAS_chr3_0506","ppa01230","Biosynthesis of amino acids - Komagataella phaffii"
"1.ppa:PAS_chr4_0950","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"1.ppa:PAS_chr4_0950","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"1.ppa:PAS_chr4_0950","ppa04113","Meiosis - yeast - Komagataella phaffii"
"1.ppa:PAS_chr4_0821","ppa00680","Methane metabolism - Komagataella phaffii"
"1.ppa:PAS_chr4_0821","ppa01100","Metabolic pathways - Komagataella phaffii"
