"Protein","logFC","adj.P.Val"
"ppa:PAS_chr1-4_0699",7.70782313856131,0.00236518997325151
"A0A1G4KQU5",8.40481806723485,0.00236518997325151
"F2QWE8",9.33242893902953,0.00236518997325151
"ppa:PAS_chr3_1071",10.5744456642562,0.00303537818160631
"ppa:PAS_chr4_0303",5.77751174097937,0.00333010544348406
"ppa:PAS_chr4_0844",6.45185680565436,0.00339627968767205
"ppa:PAS_chr3_1028",6.41636351664107,0.00353173042572338
"ppa:PAS_chr1-1_0417",4.90615421274626,0.00460699263253921
"ppa:PAS_chr3_0361",5.81925101254796,0.00460699263253921
"ppa:PAS_chr2-2_0131",4.18678361217619,0.00460699263253921
"ppa:PAS_chr1-4_0392",-3.34096041741798,0.00460699263253921
"ppa:PAS_chr2-2_0236",4.84336984859567,0.00460699263253921
"ppa:PAS_chr1-3_0152",4.36727144271803,0.00460699263253921
"ppa:PAS_chr2-2_0254",-3.45047536802463,0.00460699263253921
"ppa:PAS_chr2-1_0649",-4.86956190290266,0.00460699263253921
"ppa:PAS_chr4_0113",3.84267766051622,0.00460699263253921
"A0A1G4KQ11",3.97351133427327,0.00460699263253921
"ppa:PAS_chr4_0602",6.33137359480413,0.00460699263253921
"ppa:PAS_chr2-1_0504",6.09416424269164,0.00460699263253921
"ppa:PAS_chr3_0578",-3.25308155168263,0.00460699263253921
"ppa:PAS_chr4_0514",-3.82140177781417,0.00460699263253921
"ppa:PAS_chr4_0532",3.28576079272497,0.00460699263253921
"ppa:PAS_chr3_0841",5.01962298199147,0.00460699263253921
"ppa:PAS_chr4_0470",3.52402060217269,0.00460699263253921
"ppa:PAS_chr4_0561",-3.08731843914513,0.00460699263253921
"ppa:PAS_chr4_0390",4.08511264181794,0.00460699263253921
"ppa:PAS_chr2-1_0615",-3.31803618604083,0.00460699263253921
"ppa:PAS_chr4_0664",4.50183829195471,0.00460699263253921
"ppa:PAS_chr2-1_0749",3.72773796298986,0.00460699263253921
"ppa:PAS_chr3_0648",3.51762362693755,0.00460699263253921
"ppa:PAS_chr2-2_0454",3.0483969647191,0.00460699263253921
"ppa:PAS_chr2-2_0084",-3.32386954201194,0.00460699263253921
"ppa:PAS_chr3_0168",3.44588995860406,0.00460699263253921
"ppa:PAS_chr3_0867",6.26122034524492,0.00480710123741813
"ppa:PAS_chr1-1_0077",-3.255942925962,0.00496678554457552
"ppa:PAS_chr2-2_0108",3.0473485478676,0.00496678554457552
