Matching_ProteinAccession	S10	S1	S2	S3	S4	S5	S6	S7	S8	S9
ppa:PAS_chr1-3_0025	No Data	No Data	12.4458114173447	12.23098805756514	No Data	12.100064274299696	No Data	12.7221407634038	No Data	12.4319058773818
ppa:PAS_chr1-3_0049	No Data	16.30438934258889	16.057292068393235	16.026453368193515	No Data	15.65226281670622	16.66216581431488	16.015600168949476	14.834705490945586	No Data
ppa:PAS_chr1-3_0091	No Data	14.647921135686005	14.449252065490034	13.75519015988004	13.21692595296694	13.242570985062285	14.395145385446044	14.473422979528896	13.62407968411549	No Data
ppa:PAS_chr1-3_0167	No Data	14.059401402560017	12.699323251139274	No Data	No Data	No Data	13.03488693107055	12.493449434819295	No Data	No Data
ppa:PAS_chr1-3_0128	20.673373241672707	19.35649495606117	19.580791285989644	20.08570341822131	20.428650763663875	20.63510044004024	19.363458115518743	19.607445458154004	20.08629855485941	20.501567164427065
ppa:PAS_chr1-3_0149	16.076944412675026	17.32251340508288	16.20559386272939	15.347057922056722	15.878599912856949	15.565587200825991	17.106297912131154	16.34517077499337	15.25946240804458	16.087171129184462
ppa:PAS_chr1-3_0301	16.022913651484327	13.242220173725686	14.028165752648706	14.875304086539646	15.65135930368581	16.411317667570835	13.533019783027203	14.100679821609251	14.866584124987714	15.572771686388466
ppa:PAS_chr1-3_0142	17.998741139869516	17.209924502562277	17.713416513152286	18.17663793218836	17.87755412522566	17.811691206398752	17.607523457622314	16.942632175824045	17.855895200674205	17.908762752971082
ppa:PAS_chr1-3_0259	15.09521607186231	13.6423536275649	15.06786611909494	15.221129663622657	14.903851329443787	14.943637039719867	14.46857830573129	14.698328131679318	15.06802887699414	15.134603516345008
ppa:PAS_chr1-3_0271	14.423600035853667	17.774405537503505	15.492337440461746	15.084404380417924	15.09961909419024	14.97898166780945	15.416308664811108	15.30229265760302	15.959802379713931	14.912989353876386
ppa:PAS_chr1-3_0189	No Data	14.812247140641324	14.590223591187527	14.210956510148952	14.393722475410655	14.538915218728224	14.386367477450976	14.476692690152932	13.465049813645296	13.1025977715985
ppa:PAS_chr1-1_0023	20.72090397274613	20.01987420744344	19.98657484873523	20.02970275357036	20.544232812233663	20.4124001869853	19.795708249781367	19.72083155561945	20.23233894502025	20.54962722926147
ppa:PAS_chr1-1_0012	14.36052938115802	14.16385893568585	14.23624154018396	15.794602971340778	14.161356117716108	15.612256480020026	14.236954892069177	No Data	14.095093868849236	14.419121032105307
ppa:PAS_chr1-1_0015	16.135770805967955	15.780632675394244	15.579234441130508	16.003273069799512	16.12708090267456	15.974739726883296	15.669227536416413	15.50303763566661	16.0271517642508	16.097046107267587
ppa:PAS_chr1-1_0460	13.398171676873892	12.913145988585809	13.665685492684077	13.440579253435391	10.060691314557914	13.486478338909276	12.874675232216369	12.942357178777431	13.634796872674375	14.195536817897974
ppa:PAS_chr1-3_0312	17.887250834701106	17.498965553867894	17.41898918811278	16.74554210705718	16.12991090196758	16.727524359843464	17.683230020853895	17.586922000930326	17.9916377489416	17.954926308524886
ppa:PAS_chr1-1_0459	21.14244474421965	19.56528154851836	19.575866617772206	20.16575930608002	20.60836594427158	21.136398377830787	19.231678525976346	19.61564007558668	19.96614341678197	20.793256404826
ppa:PAS_chr1-1_0470	14.36629206172391	17.448895291455873	16.54269809289696	15.439616087043747	15.822485739288323	14.598611854160842	17.505578376754034	15.227919514354683	15.21768958911174	14.216869130092777
ppa:PAS_chr1-1_0469	14.867115724828148	15.820087300360305	15.57580788802449	No Data	15.1321601773815	15.101570191868406	15.321192234265505	15.696305051147329	15.899009824144583	15.346824259727663
ppa:PAS_chr1-1_0468	No Data	16.592799635928408	No Data	13.97449003863884	No Data	14.248121714043783	15.472136003917946	13.328988632369107	15.734453907001544	15.511262477434242
ppa:PAS_chr1-1_0129	19.15251587176877	17.723140747436858	18.42043122795308	18.8073742822604	19.158932597876145	19.378882476015505	17.825171921070066	18.504872316656247	18.80150105685112	19.046880033757805
ppa:PAS_chr1-1_0100	No Data	15.352019980172026	14.901645553964284	14.86404337870418	No Data	No Data	15.46183037606202	15.29372435541544	13.68169448878382	No Data
ppa:PAS_chr1-1_0479	13.72208154511458	13.823110632779064	13.957147574375202	13.167341727280022	14.176755245702196	15.260023059344231	13.44042743072603	16.046061366479126	14.223913763651868	14.530298452150912
ppa:PAS_chr1-1_0110	No Data	15.633286947255208	13.822336063033315	13.499127402234311	14.002195235376329	13.194305238304375	15.66365538501266	15.23422584252246	14.409872827921609	14.564133902866244
ppa:PAS_chr1-1_0481	15.311591040408956	14.418849356001186	14.742378932669594	15.441325081704807	15.420363246861765	15.515938962691218	14.600053995804652	14.53772649455982	15.105414612220846	15.31495491552319
ppa:PAS_chr1-1_0246	No Data	12.029733753190774	11.581636538320392	11.224334419376207	10.48013564721206	No Data	11.466948718353883	12.46669685354852	11.51697655357725	11.39416304058267
ppa:PAS_chr1-1_0239	15.082001192160735	No Data	12.919503768811868	No Data	No Data	15.26486820876404	No Data	No Data	No Data	14.413740898541793
ppa:PAS_chr1-1_0181	18.905733399256025	18.75751860175013	18.685607089587457	18.6685269860647	18.84365053670597	18.98044346656078	18.734441089139395	18.819413829429013	18.63025245835856	18.89844464170304
ppa:PAS_chr1-1_0159	16.88418151430869	16.12038502394194	16.258983893738655	16.914424916095097	16.890643727041997	16.73135891426217	16.258228437797253	16.428963396660716	16.717403551893394	16.7222425130975
ppa:PAS_chr1-1_0178	14.482437228436597	14.28282953539602	14.364670903195586	14.213039827436786	14.444958246921017	14.522591827261712	14.526599528936712	14.386742551658562	13.904085608167495	13.914481670183523
ppa:PAS_chr1-1_0339	16.8986543394309	No Data	No Data	15.942715657884069	15.94723347764262	17.076336758661334	No Data	No Data	16.415807904805103	16.449611773701328
ppa:PAS_chr1-1_0495	12.526392972098382	11.85113385862172	11.577073336621543	12.90001658613799	12.982637568831786	12.618353237427382	11.252611154832378	11.593924256425822	12.665334832762143	13.48836422218426
ppa:PAS_chr1-1_0491	15.793753813668534	No Data	16.23825165525466	15.69659754121334	15.253909648685838	15.388367491922049	No Data	15.554047070477187	14.975286212160285	15.529840029776103
ppa:PAS_chr1-1_0286	17.669185357246175	16.613508582328716	16.263738130499004	16.449289350339193	17.090329390545214	17.448611900621195	16.25708076815183	16.423515918650956	16.818898185654227	17.090113065940237
ppa:PAS_chr1-1_0375	No Data	No Data	No Data	12.66591867663151	No Data	No Data	No Data	No Data	No Data	No Data
