KEGG	GO_ID	GO_Description
ppa:PAS_FragD_0002;	P:GO:0010906; P:GO:0045454; P:GO:0097237; P:GO:0098869; F:GO:0004672; F:GO:0004740; F:GO:0004791; F:GO:0005524; F:GO:0016301; F:GO:0016491; C:GO:0005739; C:GO:0005759; C:GO:0016020	P:regulation of glucose metabolic process; P:cell redox homeostasis; P:cellular response to toxic substance; P:cellular oxidant detoxification; F:protein kinase activity; F:pyruvate dehydrogenase (acetyl-transferring) kinase activity; F:thioredoxin-disulfide reductase (NADPH) activity; F:ATP binding; F:kinase activity; F:oxidoreductase activity; C:mitochondrion; C:mitochondrial matrix; C:membrane
ppa:PAS_FragD_0003;	P:GO:0000289; P:GO:0006355; C:GO:0000932; C:GO:0005634; C:GO:0005737; C:GO:0030015	P:nuclear-transcribed mRNA poly(A) tail shortening; P:regulation of DNA-templated transcription; C:P-body; C:nucleus; C:cytoplasm; C:CCR4-NOT core complex
ppa:PAS_FragD_0005;		
ppa:PAS_FragD_0007;	P:GO:0006888; C:GO:0000139; C:GO:0005794; C:GO:0005802; C:GO:0016020	P:endoplasmic reticulum to Golgi vesicle-mediated transport; C:Golgi membrane; C:Golgi apparatus; C:trans-Golgi network; C:membrane
ppa:PAS_FragD_0009;		
ppa:PAS_FragD_0010;	F:GO:0016757	F:glycosyltransferase activity
ppa:PAS_FragD_0011;	P:GO:0061640; F:GO:0003924; F:GO:0005525; F:GO:0060090; C:GO:0005829; C:GO:0005935; C:GO:0005938; C:GO:0005940; C:GO:0015630; C:GO:0016020; C:GO:0031105; C:GO:0032153; C:GO:0032156	P:cytoskeleton-dependent cytokinesis; F:GTPase activity; F:GTP binding; F:molecular adaptor activity; C:cytosol; C:cellular bud neck; C:cell cortex; C:septin ring; C:microtubule cytoskeleton; C:membrane; C:septin complex; C:cell division site; C:septin cytoskeleton
ppa:PAS_FragD_0012;	C:GO:0005737; C:GO:0016020	C:cytoplasm; C:membrane
ppa:PAS_FragD_0013;	P:GO:0000054; P:GO:0001934; P:GO:0002181; P:GO:0034198; P:GO:0045860; F:GO:0003723; F:GO:0003735; F:GO:0005515; C:GO:0005737; C:GO:0005829; C:GO:0005840; C:GO:0022627; C:GO:1990904	P:ribosomal subunit export from nucleus; P:positive regulation of protein phosphorylation; P:cytoplasmic translation; P:cellular response to amino acid starvation; P:positive regulation of protein kinase activity; F:RNA binding; F:structural constituent of ribosome; F:protein binding; C:cytoplasm; C:cytosol; C:ribosome; C:cytosolic small ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_FragD_0014;	P:GO:0006412; F:GO:0003735; C:GO:0005840; C:GO:1990904	P:translation; F:structural constituent of ribosome; C:ribosome; C:ribonucleoprotein complex
ppa:PAS_FragD_0015;		
ppa:PAS_FragD_0016;	P:GO:0006367; P:GO:0051123; F:GO:0016251; C:GO:0005634; C:GO:0005669	P:transcription initiation at RNA polymerase II promoter; P:RNA polymerase II preinitiation complex assembly; F:RNA polymerase II general transcription initiation factor activity; C:nucleus; C:transcription factor TFIID complex
ppa:PAS_FragD_0017;		
