"KEGG_ID","Pathways","PathwayName"
"ppa:PAS_chr1-4_0699","NULL",NA
"F2QWE8","NULL",NA
"ppa:PAS_chr3_1071","NULL",NA
"ppa:PAS_chr3_1028","ppa00010","Glycolysis / Gluconeogenesis - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00071","Fatty acid degradation - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00350","Tyrosine metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00620","Pyruvate metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00680","Methane metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa01200","Carbon metabolism - Komagataella phaffii"
"ppa:PAS_chr4_0303","NULL",NA
"ppa:PAS_chr4_0844","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr1-1_0417","NULL",NA
"ppa:PAS_chr2-2_0236","NULL",NA
"ppa:PAS_chr3_0099","ppa04146","Peroxisome - Komagataella phaffii"
"ppa:PAS_chr2-2_0177","NULL",NA
"ppa:PAS_chr2-1_0504","ppa04146","Peroxisome - Komagataella phaffii"
"ppa:PAS_chr2-1_0489","NULL",NA
"ppa:PAS_chr4_0390","NULL",NA
"ppa:PAS_chr4_0664","ppa00270","Cysteine and methionine metabolism - Komagataella phaffii"
"ppa:PAS_chr4_0664","ppa00670","One carbon pool by folate - Komagataella phaffii"
"ppa:PAS_chr4_0664","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr4_0664","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr4_0664","ppa04981","Folate transport and metabolism - Komagataella phaffii"
"A0A1G4KQ11","NULL",NA
"ppa:PAS_chr4_0602","NULL",NA
"ppa:PAS_chr2-2_0254","NULL",NA
"ppa:PAS_chr4_0532","NULL",NA
"ppa:PAS_chr2-2_0131","ppa00380","Tryptophan metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa00630","Glyoxylate and dicarboxylate metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa01200","Carbon metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa04146","Peroxisome - Komagataella phaffii"
"ppa:PAS_chr4_0514","NULL",NA
"ppa:PAS_chr3_0361","ppa00760","Nicotinate and nicotinamide metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0361","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_0361","ppa01240","Biosynthesis of cofactors - Komagataella phaffii"
"ppa:PAS_chr1-3_0119","NULL",NA
"ppa:PAS_chr1-4_0668","NULL",NA
"ppa:PAS_chr4_0113","NULL",NA
"ppa:PAS_chr3_0841","ppa00051","Fructose and mannose metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa00561","Glycerolipid metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa00680","Methane metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa01200","Carbon metabolism - Komagataella phaffii"
"ppa:PAS_chr4_0063","ppa00100","Steroid biosynthesis - Komagataella phaffii"
